z,p
29100.,2.479170169924916e-6
29250.,2.43097448379763e-6
29400.,2.383745350490516e-6
29550.,2.33746279281078e-6
29700.,2.292107258709523e-6
29850.,2.247659611973807e-6
30000.,2.204101123128162e-6
30150.,2.161413460540734e-6
30300.,2.1195786817293463e-6
30450.,2.0785792248628736e-6
30600.,2.038397900453324e-6
30750.,1.999017883234455e-6
30900.,1.96042270422228e-6
31050.,1.9225962429536754e-6
31200.,1.885522719898631e-6
31350.,1.849186689042422e-6
31500.,1.813573030633616e-6
31650.,1.7786669440941735e-6
31800.,1.744453941087973e-6
31950.,1.7109198387440108e-6
32100.,1.6780507530308293e-6
32250.,1.6458330922786437e-6
32400.,1.6142535508458452e-6
32550.,1.5832991029264896e-6
32700.,1.55295699649563e-6
32850.,1.5232147473893528e-6
